,date,event_name_1,event_type_1,current_sales,max_sales,mean_sales,factor
1527,2015-04-05,Easter,Cultural,11.2,17.92,7.360000000000001,2.434782608695652
1533,2015-04-11,Pesach End,Religious,8.96,47.040000000000006,12.800000000000002,3.675
1534,2015-04-12,OrthodoxEaster,Religious,4.48,47.040000000000006,11.840000000000002,3.972972972972973
1557,2015-05-05,Cinco De Mayo,Cultural,4.48,20.160000000000004,8.640000000000002,2.333333333333333
1562,2015-05-10,Mother's day,Cultural,4.48,15.680000000000005,10.240000000000004,1.53125
1577,2015-05-25,MemorialDay,National,20.160000000000004,20.160000000000004,10.24,1.9687500000000002
1587,2015-06-04,NBAFinalsStart,Sporting,4.48,17.92,8.959999999999999,2.0000000000000004
1599,2015-06-16,NBAFinalsEnd,Sporting,2.24,31.360000000000007,13.120000000000003,2.3902439024390243
1601,2015-06-18,Ramadan starts,Religious,4.48,20.160000000000004,9.920000000000002,2.032258064516129
1604,2015-06-21,Father's day,Cultural,17.92,20.16,10.24,1.96875
